"ID","NAME","CAPACITY","ROOMTYPE","ADDRESS","MUNICIPALITY"
602,"RESTAURANTE TÍPICO A TIPÓIA",60,9,"RUA DO NORTE 100-102",1106
603,"AUDITÓRIO PHILIPPE FRIEDMAN",271,7,"AVENIDA LUIS BIVAR  91",1106
604,"TEATRO COMUNA - SALA NOVA",123,1,"PRAÇA DE ESPANHA",1106
605,"SALA UM DA COMUNA-BLACK BOX",90,1,"PRAÇA DE ESPANHA",1106
606,"CAFÉ CONCERTO - TEATRO COMUNA",180,2,"PRAÇA DE ESPANHA",1106
607,"TEATRO COMUNA - SALA DAS NOVAS TENDÊNCIAS",104,5,"PRAÇA DE ESPANHA",1106
608,"AULA MAGNA DA REITORIA DA UNIVERSIDADE DE LISBOA",1678,7,"CIDADE UNIVERSITÁRIA-CAMPO GRANDE",1106
609,"CINEMA MONUMENTAL - SALA 1",164,15,"CENTRO COMERCIAL MONUMENTAL-AV PRAIA DA VITÓRIA 71",1106
610,"CINEMA MONUMENTAL - SALA 2",121,15,"CENTRO COMERCIAL MONUMENTAL-AV PRAIA DA VITÓRIA 71",1106
611,"CINEMA MONUMENTAL - SALA 3",123,15,"CENTRO COMERCIAL MONUMENTAL-AV PRAIA DA VITÓRIA 71",1106
612,"CINEMA MONUMENTAL - SALA 4",374,14,"CENTRO COMERCIAL MONUMENTAL-AV PRAIA DA VITÓRIA 71",1106
613,"GRANDE AUDITÓRIO DA FUNDAÇÃO CALOUSTE GULBENKIAN",1228,7,"AVENIDA DE BERNA  45A",1106
614,"AUDITÓRIO 2 DA FUNDAÇÃO CALOUSTE GULBENKIAN",345,7,"AVENIDA DE BERNA  45A",1106
615,"AUDITÓRIO DO CENTRO DE ARTE MODERNA GULBENKIAN",143,7,"AVENIDA DE BERNA  45A",1106
616,"ÁTRIO DA BIBL E MUSEU DA FUND CALOUSTE GULBENKIAN",140,8,"AVENIDA DE BERNA  45A",1106
617,"ANFITEATRO AO AR LIVRE DA FUND CALOUSTE GULBENKIAN",1200,10,"AVENIDA DE BERNA  45A",1106
618,"AUDITÓRIO 3 DA FUNDAÇÃO CALOUSTE GULBENKIAN",133,7,"AVENIDA DE BERNA  45A",1106
619,"TEATRO NACIONAL D MARIA II - SALA GARRETT",444,1,"PRAÇA DOM PEDRO IV (ROSSIO)",1106
620,"TEATRO NACIONAL D MARIA II – SALA AMÉLIA REY COLAÇO",91,1,"PRAÇA DOM PEDRO IV (ROSSIO)",1106
621,"TEATRO DO BAIRRO ALTO - CORNUCÓPIA",121,1,"RUA TENENTE RAUL CASCAIS  1A",1106
622,"TEATRO TABORDA",150,1,"COSTA DO CASTELO  75",1106
623,"GRANDE AUDITÓRIO DA CULTURGEST",640,7,"AVENIDA JOÃO XXI  63",1106
624,"PEQUENO AUDITÓRIO DA CULTURGEST",149,7,"AVENIDA JOÃO XXI  63",1106
625,"GRANDE AUDITÓRIO DO CENTRO CULTURAL DE BELÉM",1503,7,"PRAÇA DO IMPÉRIO",1106
626,"PEQUENO AUDITÓRIO C C BELÉM (SALA ED.PRADO COELHO)",351,7,"PRAÇA DO IMPÉRIO",1106
627,"SALA BLACK BOX DO CENTRO CULTURAL DE BELÉM",70,5,"PRAÇA DO IMPÉRIO",1106
628,"TEATRO NACIONAL DE SÃO CARLOS",956,1,"RUA SERPA PINTO  9",1106
629,"SALÃO NOBRE DO TEATRO NACIONAL DE SÃO CARLOS",150,1,"RUA SERPA PINTO  9",1106
630,"FOYER DO TEATRO NACIONAL DE SÃO CARLOS",100,1,"RUA SERPA PINTO  9",1106
631,"CINEMAS COLOMBO - SALA 1",237,15,"CENTRO COMERCIAL COLOMBO-AVENIDA DOS LUSÍADAS",1106
632,"CINEMAS COLOMBO - SALA 2",88,15,"CENTRO COMERCIAL COLOMBO-AVENIDA DOS LUSÍADAS",1106
633,"CINEMAS COLOMBO - SALA 3",239,15,"CENTRO COMERCIAL COLOMBO-AVENIDA DOS LUSÍADAS",1106
634,"CINEMAS COLOMBO - SALA 4",362,15,"CENTRO COMERCIAL COLOMBO-AVENIDA DOS LUSÍADAS",1106
635,"CINEMAS COLOMBO - SALA 5",362,15,"CENTRO COMERCIAL COLOMBO-AVENIDA DOS LUSÍADAS",1106
636,"CINEMAS COLOMBO - SALA 6",275,15,"CENTRO COMERCIAL COLOMBO-AVENIDA DOS LUSÍADAS",1106
637,"CINEMAS COLOMBO - SALA 7",99,15,"CENTRO COMERCIAL COLOMBO-AVENIDA DOS LUSÍADAS",1106
